num_threads,time_s,query_radius_m,executed_queries,result_count
1,32,10,13957,13957
1,32,10,14075,14075
1,32,10,13878,13878
1,32,10,14176,14176
1,32,10,14102,14102
1,32,10,14097,14097
1,32,10,13920,13920
1,32,10,14093,14093
1,32,10,14037,14037
1,32,10,13858,13858
2,32,10,27700,27700
2,32,10,28144,28144
2,32,10,28091,28091
2,32,10,28206,28206
2,32,10,28037,28037
2,32,10,28201,28201
2,32,10,27859,27859
2,32,10,28035,28035
2,32,10,28144,28144
2,32,10,27963,27963
4,32,10,51246,51246
4,32,10,51819,51819
4,32,10,52006,52006
4,32,10,51699,51699
4,32,10,51460,51460
4,32,10,52306,52306
4,32,10,52207,52207
4,32,10,52515,52515
4,32,10,52272,52272
4,32,10,51472,51472
8,32,10,61789,61789
8,32,10,61590,61590
8,32,10,61782,61782
8,32,10,61964,61964
8,32,10,61948,61948
8,32,10,61788,61788
8,32,10,61900,61900
8,32,10,61378,61378
8,32,10,61741,61741
8,32,10,61962,61962
16,32,10,61518,61518
16,32,10,61378,61378
16,32,10,61252,61252
16,32,10,61498,61498
16,32,10,61458,61458
16,32,10,61536,61536
16,32,10,61265,61265
16,32,10,61393,61393
16,32,10,61361,61361
16,32,10,61053,61053
32,32,10,61232,61232
32,32,10,61222,61222
32,32,10,61091,61091
32,32,10,61232,61232
32,32,10,61183,61183
32,32,10,61142,61142
32,32,10,61381,61381
32,32,10,61131,61131
32,32,10,61271,61271
32,32,10,61299,61299
64,32,10,61145,61145
64,32,10,61105,61105
64,32,10,61025,61025
64,32,10,61008,61008
64,32,10,61039,61039
64,32,10,61201,61201
64,32,10,61120,61120
64,32,10,61040,61040
64,32,10,61051,61051
64,32,10,61053,61053
128,32,10,60962,60962
128,32,10,60921,60921
128,32,10,61001,61001
128,32,10,60887,60887
128,32,10,60703,60703
128,32,10,60875,60875
128,32,10,60925,60925
128,32,10,60860,60860
128,32,10,60832,60832
128,32,10,60669,60669
