num_threads,time_s,query_radius_m,executed_queries,result_count
1,32,10,25347,1068125
1,32,10,25164,1060766
1,32,10,25041,1120915
1,32,10,24818,1099878
1,32,10,25433,1049052
1,32,10,25295,1094264
1,32,10,24980,1086688
1,32,10,25052,1067163
1,32,10,25315,1074468
1,32,10,25421,1118527
2,32,10,49928,2178648
2,32,10,49883,2170521
2,32,10,49738,2134171
2,32,10,49651,2147497
2,32,10,49372,2161838
2,32,10,49900,2181084
2,32,10,50434,2184057
2,32,10,49600,2138306
2,32,10,50330,2182614
2,32,10,49402,2174514
4,32,10,88114,3839825
4,32,10,87340,3806568
4,32,10,87082,3759795
4,32,10,87653,3777722
4,32,10,87091,3768268
4,32,10,87243,3765157
4,32,10,86983,3813544
4,32,10,88144,3792399
4,32,10,86819,3744207
4,32,10,87918,3799633
8,32,10,118474,5120423
8,32,10,119005,5144348
8,32,10,118564,5154429
8,32,10,118408,5095042
8,32,10,118568,5134358
8,32,10,118854,5135396
8,32,10,118521,5142345
8,32,10,118631,5176983
8,32,10,119212,5186383
8,32,10,118711,5126997
16,32,10,117232,5055489
16,32,10,116577,5036760
16,32,10,117072,5052500
16,32,10,117282,5073621
16,32,10,116742,5027948
16,32,10,116900,5065804
16,32,10,117170,5044584
16,32,10,116880,5088340
16,32,10,117091,5050620
16,32,10,116879,5064487
32,32,10,116423,5040647
32,32,10,116356,5033249
32,32,10,116477,5029138
32,32,10,116372,5047059
32,32,10,116519,5040753
32,32,10,116221,5051925
32,32,10,116409,5045271
32,32,10,116347,5012768
32,32,10,116510,5032956
32,32,10,116601,5031878
64,32,10,115816,4993929
64,32,10,116009,5020952
64,32,10,115942,5014517
64,32,10,115803,5021437
64,32,10,116060,5012359
64,32,10,116068,5000276
64,32,10,116093,5018227
64,32,10,115924,5004852
64,32,10,116050,5019739
64,32,10,116121,5023468
128,32,10,115418,4998350
128,32,10,115593,4998677
128,32,10,115461,5002434
128,32,10,115499,4993502
128,32,10,115465,5002092
128,32,10,115441,4999807
128,32,10,115499,4995437
128,32,10,115370,4993544
128,32,10,115263,5001130
128,32,10,115411,4988199
