num_threads,time_s,query_radius_m,executed_queries,result_count
1,8,10,9673,784679
1,8,10,9707,786968
1,8,10,9673,784679
1,8,10,9660,783505
1,8,10,9519,772730
1,8,10,9679,785015
1,8,10,9650,782908
1,8,10,9678,784955
1,8,10,9704,786766
1,8,10,9720,788020
1,8,10,9739,789588
1,8,10,9711,787262
1,8,10,9647,782718
1,8,10,9752,790874
1,8,10,9741,789691
1,8,10,9733,788962
1,8,10,9701,786548
1,8,10,9570,775874
1,8,10,9629,780553
1,8,10,9692,785999
1,8,10,9690,785900
1,8,10,9719,787806
1,8,10,9765,791910
1,8,10,9657,783339
1,8,10,9663,783849
1,8,10,9676,784868
1,8,10,9647,782718
1,8,10,9830,797214
1,8,10,9910,803709
1,8,10,9826,796352
2,8,10,19134,1582190
2,8,10,19251,1591820
2,8,10,19295,1594687
2,8,10,19281,1592943
2,8,10,19284,1594482
2,8,10,19287,1593423
2,8,10,19320,1596649
2,8,10,18940,1566636
2,8,10,19308,1594847
2,8,10,19250,1590803
2,8,10,19157,1583166
2,8,10,19106,1579994
2,8,10,19196,1586850
2,8,10,19193,1586782
2,8,10,19198,1586883
2,8,10,19115,1579842
2,8,10,19188,1586360
2,8,10,19269,1592197
2,8,10,19200,1587083
2,8,10,19356,1599308
2,8,10,19260,1591357
2,8,10,19312,1595378
2,8,10,19290,1593521
2,8,10,19251,1590798
2,8,10,19231,1589357
2,8,10,19232,1589630
2,8,10,18899,1562951
2,8,10,19250,1590777
2,8,10,19319,1596631
2,8,10,19238,1589934
4,8,10,37321,3122130
4,8,10,37648,3148272
4,8,10,37681,3147077
4,8,10,37389,3128938
4,8,10,37760,3157784
4,8,10,37842,3162320
4,8,10,36662,3070520
4,8,10,37680,3150806
4,8,10,37358,3123174
4,8,10,37858,3165410
4,8,10,37550,3135791
4,8,10,37338,3122327
4,8,10,37649,3146453
4,8,10,37774,3157794
4,8,10,37761,3157002
4,8,10,37907,3168595
4,8,10,37941,3169540
4,8,10,37646,3148271
4,8,10,37817,3162049
4,8,10,37932,3169725
4,8,10,37340,3121933
4,8,10,37897,3168711
4,8,10,37726,3155451
4,8,10,37717,3155778
4,8,10,37554,3136165
4,8,10,37732,3155902
4,8,10,38012,3177292
4,8,10,37795,3160523
4,8,10,37892,3167820
4,8,10,37142,3105419
8,8,10,73075,6126574
8,8,10,72789,6104326
8,8,10,72553,6089165
8,8,10,71483,6001189
8,8,10,72205,6054563
8,8,10,72078,6046948
8,8,10,71361,5990052
8,8,10,72072,6048189
8,8,10,72033,6043009
8,8,10,71671,6016082
8,8,10,71837,6028096
8,8,10,71911,6034585
8,8,10,72591,6089264
8,8,10,72339,6068228
8,8,10,70565,5927081
8,8,10,71919,6031294
8,8,10,72063,6046929
8,8,10,72127,6052106
8,8,10,71039,5961833
8,8,10,72734,6104697
8,8,10,72008,6044164
8,8,10,71210,5980661
8,8,10,71171,5973591
8,8,10,70456,5917976
8,8,10,71955,6038534
8,8,10,71591,6007995
8,8,10,71858,6029767
8,8,10,72723,6099659
8,8,10,72359,6069800
8,8,10,72471,6084579
16,8,10,137096,11504817
16,8,10,137971,11574490
16,8,10,137615,11546152
16,8,10,137143,11503821
16,8,10,131822,11067360
16,8,10,130701,10964002
16,8,10,137026,11492235
16,8,10,131743,11058499
16,8,10,132597,11128852
16,8,10,135413,11361582
16,8,10,134585,11285196
16,8,10,132952,11159760
16,8,10,133545,11208873
16,8,10,137149,11507508
16,8,10,138437,11613241
16,8,10,138376,11611165
16,8,10,135204,11344486
16,8,10,138495,11619683
16,8,10,136950,11486701
16,8,10,136229,11429587
16,8,10,130840,10980615
16,8,10,130992,10996179
16,8,10,132174,11088985
16,8,10,137867,11563682
16,8,10,136691,11466767
16,8,10,135815,11401362
16,8,10,133102,11168675
16,8,10,127376,10696567
16,8,10,136699,11468910
16,8,10,135785,11396660
32,8,10,212101,17755804
32,8,10,209503,17543282
32,8,10,209792,17561337
32,8,10,213627,17879053
32,8,10,216128,18086207
32,8,10,209236,17513204
32,8,10,212713,17811892
32,8,10,212862,17819932
32,8,10,211612,17717880
32,8,10,212722,17801301
32,8,10,214774,17958316
32,8,10,211060,17669144
32,8,10,212196,17758703
32,8,10,212292,17768325
32,8,10,209456,17531730
32,8,10,214636,17960085
32,8,10,213007,17834576
32,8,10,214617,17955791
32,8,10,215099,17998132
32,8,10,212536,17789718
32,8,10,209058,17508929
32,8,10,209152,17514316
32,8,10,213417,17855813
32,8,10,212003,17742063
32,8,10,211714,17714619
32,8,10,212362,17788572
32,8,10,214922,17987154
32,8,10,207122,17337881
32,8,10,212569,17780288
32,8,10,215450,18023168
64,8,10,299833,25074933
64,8,10,298633,24977910
64,8,10,298216,24937590
64,8,10,298877,24988298
64,8,10,300558,25120903
64,8,10,299374,25023992
64,8,10,298402,24945832
64,8,10,298149,24942529
64,8,10,296332,24772791
64,8,10,297018,24818992
64,8,10,300898,25157315
64,8,10,298418,24964157
64,8,10,299449,25023950
64,8,10,298229,24927594
64,8,10,298867,24980281
64,8,10,298833,24989008
64,8,10,297572,24877838
64,8,10,298213,24930609
64,8,10,298658,24975500
64,8,10,298816,24988750
64,8,10,298950,24996697
64,8,10,300548,25121025
64,8,10,298960,24988703
64,8,10,297985,24908307
64,8,10,298641,24968750
64,8,10,298424,24952099
64,8,10,299602,25061070
64,8,10,297686,24888584
64,8,10,299815,25049189
64,8,10,297381,24879126
128,8,10,285549,23891187
128,8,10,282281,23634985
128,8,10,281571,23558703
128,8,10,283289,23700456
128,8,10,283844,23773505
128,8,10,284173,23785321
128,8,10,282629,23658541
128,8,10,282119,23627330
128,8,10,285296,23899694
128,8,10,284050,23780139
128,8,10,282168,23623938
128,8,10,284508,23825763
128,8,10,284705,23830022
128,8,10,284709,23842364
128,8,10,283467,23740355
128,8,10,282387,23634406
128,8,10,282416,23646233
128,8,10,283356,23726873
128,8,10,283991,23774291
128,8,10,283558,23754642
128,8,10,283475,23749271
128,8,10,283654,23729841
128,8,10,283441,23725186
128,8,10,282371,23644130
128,8,10,285139,23880691
128,8,10,283867,23768984
128,8,10,283145,23719892
128,8,10,282789,23667796
128,8,10,284117,23783851
128,8,10,283671,23737509
