num_threads,time_s,query_radius_m,executed_queries,result_count
1,32,10,8861,380405
1,32,10,8870,392908
1,32,10,8986,386433
1,32,10,8885,375267
1,32,10,8823,394594
1,32,10,9046,384547
1,32,10,8935,389921
1,32,10,8868,379073
1,32,10,8874,387421
1,32,10,9009,383293
2,32,10,16922,739978
2,32,10,17241,739316
2,32,10,17158,754155
2,32,10,17299,734759
2,32,10,17279,740151
2,32,10,17436,766161
2,32,10,16771,733339
2,32,10,17312,749010
2,32,10,17241,742357
2,32,10,17029,719099
4,32,10,28034,1215672
4,32,10,27999,1211199
4,32,10,28285,1223809
4,32,10,28184,1233378
4,32,10,28035,1209663
4,32,10,28069,1221177
4,32,10,27966,1214858
4,32,10,27975,1192932
4,32,10,28168,1222157
4,32,10,28086,1206408
8,32,10,42234,1821517
8,32,10,42220,1823936
8,32,10,42348,1815432
8,32,10,42033,1798486
8,32,10,41998,1833806
8,32,10,42105,1816924
8,32,10,42232,1830570
8,32,10,42305,1831957
8,32,10,41915,1813294
8,32,10,41979,1836148
16,32,10,42005,1817333
16,32,10,41837,1806631
16,32,10,41855,1819515
16,32,10,41976,1813374
16,32,10,41991,1815591
16,32,10,41860,1808557
16,32,10,41962,1805405
16,32,10,41838,1810233
16,32,10,42037,1805293
16,32,10,41998,1810015
32,32,10,41798,1804233
32,32,10,41616,1807587
32,32,10,41612,1802915
32,32,10,41864,1812040
32,32,10,41687,1805121
32,32,10,41458,1803685
32,32,10,41736,1801137
32,32,10,41692,1814789
32,32,10,41734,1808602
32,32,10,41720,1805945
64,32,10,41556,1802810
64,32,10,41495,1796034
64,32,10,41277,1787808
64,32,10,41616,1795844
64,32,10,41474,1799855
64,32,10,41420,1796587
64,32,10,41391,1786350
64,32,10,41386,1792374
64,32,10,41563,1799947
64,32,10,41541,1802813
128,32,10,41283,1782685
128,32,10,41216,1783730
128,32,10,41142,1778884
128,32,10,41343,1791890
128,32,10,41320,1780560
128,32,10,41267,1784792
128,32,10,41386,1788299
128,32,10,41138,1775865
128,32,10,41493,1798746
128,32,10,41111,1779915
