num_threads,time_s,query_radius_m,executed_queries,result_count
1,8,10,6023,449273
1,8,10,6179,460757
1,8,10,6206,462617
1,8,10,6211,462955
1,8,10,6270,467199
1,8,10,6221,463546
1,8,10,6208,462730
1,8,10,6257,466132
1,8,10,6225,463791
1,8,10,6215,463147
1,8,10,6213,463035
1,8,10,6246,465437
1,8,10,6228,464269
1,8,10,6183,461025
1,8,10,6209,462822
1,8,10,6170,460145
1,8,10,6191,461497
1,8,10,6175,460488
1,8,10,6189,461354
1,8,10,6197,461917
1,8,10,6243,465197
1,8,10,6185,461120
1,8,10,6234,464670
1,8,10,6205,462573
1,8,10,6250,465695
1,8,10,6158,459299
1,8,10,6253,465880
1,8,10,6243,465197
1,8,10,6239,465002
1,8,10,6133,457468
2,8,10,12049,886339
2,8,10,12177,896146
2,8,10,12113,891439
2,8,10,11883,875228
2,8,10,11927,878102
2,8,10,12077,888966
2,8,10,12001,883470
2,8,10,12017,884199
2,8,10,11978,881534
2,8,10,11926,878089
2,8,10,12007,883433
2,8,10,12028,884638
2,8,10,11879,875195
2,8,10,12149,893925
2,8,10,12029,884828
2,8,10,12029,884940
2,8,10,11873,874525
2,8,10,11979,882148
2,8,10,11955,880198
2,8,10,12107,891408
2,8,10,12006,883857
2,8,10,11779,868433
2,8,10,11970,880800
2,8,10,11924,878391
2,8,10,12040,886115
2,8,10,12163,895129
2,8,10,12050,886491
2,8,10,11988,882231
2,8,10,11950,880239
2,8,10,12115,891105
4,8,10,23830,1738440
4,8,10,24122,1760078
4,8,10,24100,1758312
4,8,10,24126,1759493
4,8,10,24004,1751630
4,8,10,24170,1762803
4,8,10,24234,1767179
4,8,10,23972,1748461
4,8,10,24030,1752202
4,8,10,24185,1764686
4,8,10,24498,1786546
4,8,10,24175,1763889
4,8,10,23797,1736236
4,8,10,24056,1754226
4,8,10,23951,1747422
4,8,10,24114,1759428
4,8,10,24182,1763948
4,8,10,24039,1753187
4,8,10,24044,1754771
4,8,10,24098,1759114
4,8,10,24086,1756707
4,8,10,23991,1750670
4,8,10,24038,1753908
4,8,10,23907,1744272
4,8,10,24126,1759711
4,8,10,23882,1741790
4,8,10,23956,1747426
