num_threads,time_s,query_radius_m,executed_queries,result_count
1,32,10,7078,7078
1,32,10,7009,7009
1,32,10,7003,7003
1,32,10,7094,7094
1,32,10,7064,7064
1,32,10,7022,7022
1,32,10,7111,7111
1,32,10,7088,7088
1,32,10,7027,7027
1,32,10,7016,7016
2,32,10,14036,14036
2,32,10,14150,14150
2,32,10,14063,14063
2,32,10,14296,14296
2,32,10,14049,14049
2,32,10,14006,14006
2,32,10,14186,14186
2,32,10,14062,14062
2,32,10,13939,13939
2,32,10,14125,14125
4,32,10,22970,22970
4,32,10,21751,21751
4,32,10,21838,21838
4,32,10,23442,23442
4,32,10,22917,22917
4,32,10,23618,23618
4,32,10,22113,22113
4,32,10,22267,22267
4,32,10,22044,22044
4,32,10,22268,22268
8,32,10,32184,32184
8,32,10,32323,32323
8,32,10,32362,32362
8,32,10,32294,32294
8,32,10,32282,32282
8,32,10,32479,32479
8,32,10,32283,32283
8,32,10,32252,32252
8,32,10,32167,32167
8,32,10,32215,32215
16,32,10,32217,32217
16,32,10,32291,32291
16,32,10,32161,32161
16,32,10,32164,32164
16,32,10,32038,32038
16,32,10,32109,32109
16,32,10,32267,32267
16,32,10,32211,32211
16,32,10,32224,32224
16,32,10,32228,32228
32,32,10,32074,32074
32,32,10,32079,32079
32,32,10,31977,31977
32,32,10,32154,32154
32,32,10,32163,32163
32,32,10,31870,31870
32,32,10,32218,32218
32,32,10,32088,32088
32,32,10,32157,32157
32,32,10,32020,32020
64,32,10,32010,32010
64,32,10,31992,31992
64,32,10,31877,31877
64,32,10,32048,32048
64,32,10,32059,32059
64,32,10,32072,32072
64,32,10,31895,31895
64,32,10,31905,31905
64,32,10,31899,31899
64,32,10,31973,31973
128,32,10,31603,31603
128,32,10,31804,31804
128,32,10,31691,31691
128,32,10,31764,31764
128,32,10,31757,31757
128,32,10,31833,31833
128,32,10,31834,31834
128,32,10,31681,31681
128,32,10,31771,31771
128,32,10,31677,31677
