num_threads,time_s,query_radius_m,executed_queries,result_count
1,32,10,6992,6992
1,32,10,7096,7096
1,32,10,7090,7090
1,32,10,7001,7001
1,32,10,7045,7045
1,32,10,7034,7034
1,32,10,7015,7015
1,32,10,6966,6966
1,32,10,6982,6982
1,32,10,7023,7023
2,32,10,13899,13899
2,32,10,14021,14021
2,32,10,13812,13812
2,32,10,13986,13986
2,32,10,13771,13771
2,32,10,13982,13982
2,32,10,13916,13916
2,32,10,13803,13803
2,32,10,13897,13897
2,32,10,13828,13828
4,32,10,26962,26962
4,32,10,26659,26659
4,32,10,26850,26850
4,32,10,26651,26651
4,32,10,26844,26844
4,32,10,26984,26984
4,32,10,26670,26670
4,32,10,26927,26927
4,32,10,26707,26707
4,32,10,26872,26872
8,32,10,32329,32329
8,32,10,32312,32312
8,32,10,32384,32384
8,32,10,32343,32343
8,32,10,32411,32411
8,32,10,32316,32316
8,32,10,32339,32339
8,32,10,32350,32350
8,32,10,32385,32385
8,32,10,32340,32340
16,32,10,32201,32201
16,32,10,32121,32121
16,32,10,32157,32157
16,32,10,32167,32167
16,32,10,32187,32187
16,32,10,32177,32177
16,32,10,32120,32120
16,32,10,32135,32135
16,32,10,32142,32142
16,32,10,32154,32154
32,32,10,31956,31956
32,32,10,31997,31997
32,32,10,32004,32004
32,32,10,32047,32047
32,32,10,31962,31962
32,32,10,32010,32010
32,32,10,32016,32016
32,32,10,31971,31971
32,32,10,31946,31946
32,32,10,31942,31942
64,32,10,31775,31775
64,32,10,31789,31789
64,32,10,31753,31753
64,32,10,31769,31769
64,32,10,31803,31803
64,32,10,31852,31852
64,32,10,31795,31795
64,32,10,31839,31839
64,32,10,31849,31849
64,32,10,31691,31691
128,32,10,31528,31528
128,32,10,31492,31492
128,32,10,31459,31459
128,32,10,31470,31470
128,32,10,31545,31545
128,32,10,31431,31431
128,32,10,31429,31429
128,32,10,31494,31494
128,32,10,31483,31483
128,32,10,31418,31418
