f,radius,time,bitstring_count
1.000000,5,0.000271,2
1.000000,5,0.000133,2
1.000000,5,0.000138,2
1.000000,5,0.000133,2
1.000000,5,0.000139,2
1.000000,5,0.000128,2
1.000000,5,0.000126,2
1.000000,5,0.000136,2
1.000000,5,0.000126,2
1.000000,5,0.000132,2
1.000000,5,0.000137,2
1.000000,5,0.000126,2
1.000000,5,0.000129,2
1.000000,5,0.000124,2
1.000000,5,0.000120,2
1.000000,5,0.000110,2
1.000000,5,0.000116,2
1.000000,5,0.000115,2
1.000000,5,0.000117,2
1.000000,5,0.000110,2
1.000000,5,0.000118,2
1.000000,5,0.000116,2
1.000000,5,0.000111,2
1.000000,5,0.000116,2
1.000000,5,0.000109,2
1.000000,5,0.000112,2
1.000000,5,0.000116,2
1.000000,5,0.000112,2
1.000000,5,0.000112,2
1.000000,5,0.000111,2
0.500000,5,0.000197,4
0.500000,5,0.000105,4
0.500000,5,0.000103,4
0.500000,5,0.000104,4
0.500000,5,0.000105,4
0.500000,5,0.000114,4
0.500000,5,0.000124,4
0.500000,5,0.000109,4
0.500000,5,0.000101,4
0.500000,5,0.000098,4
0.500000,5,0.000102,4
0.500000,5,0.000094,4
0.500000,5,0.000098,4
0.500000,5,0.000096,4
0.500000,5,0.000105,4
0.500000,5,0.000097,4
0.500000,5,0.000099,4
0.500000,5,0.000094,4
0.500000,5,0.000102,4
0.500000,5,0.000095,4
0.500000,5,0.000099,4
0.500000,5,0.000096,4
0.500000,5,0.000105,4
0.500000,5,0.000097,4
0.500000,5,0.000100,4
0.500000,5,0.000118,4
0.500000,5,0.000096,4
0.500000,5,0.000094,4
0.500000,5,0.000102,4
0.500000,5,0.000097,4
0.250000,5,0.000324,6
0.250000,5,0.000208,6
0.250000,5,0.000200,6
0.250000,5,0.000185,6
0.250000,5,0.000196,6
0.250000,5,0.000197,6
0.250000,5,0.000187,6
0.250000,5,0.000183,6
0.250000,5,0.000196,6
0.250000,5,0.000168,6
0.250000,5,0.000177,6
0.250000,5,0.000165,6
0.250000,5,0.000170,6
0.250000,5,0.000166,6
0.250000,5,0.000165,6
0.250000,5,0.000166,6
0.250000,5,0.000180,6
0.250000,5,0.000193,6
0.250000,5,0.000174,6
0.250000,5,0.000185,6
0.250000,5,0.000170,6
0.250000,5,0.000168,6
0.250000,5,0.000676,6
0.250000,5,0.000221,6
0.250000,5,0.000177,6
0.250000,5,0.000164,6
0.250000,5,0.000268,6
0.250000,5,0.000187,6
0.250000,5,0.000184,6
0.250000,5,0.000180,6
0.125000,5,0.000339,11
0.125000,5,0.000232,11
0.125000,5,0.000219,11
0.125000,5,0.000213,11
0.125000,5,0.000195,11
0.125000,5,0.000195,11
0.125000,5,0.000195,11
0.125000,5,0.000209,11
0.125000,5,0.000193,11
0.125000,5,0.000204,11
0.125000,5,0.000208,11
0.125000,5,0.000191,11
0.125000,5,0.000234,11
0.125000,5,0.000191,11
0.125000,5,0.000194,11
0.125000,5,0.000200,11
0.125000,5,0.000745,11
0.125000,5,0.000228,11
0.125000,5,0.000224,11
0.125000,5,0.000208,11
0.125000,5,0.000212,11
0.125000,5,0.000209,11
0.125000,5,0.000200,11
0.125000,5,0.000203,11
0.125000,5,0.000199,11
0.125000,5,0.000198,11
0.125000,5,0.000201,11
0.125000,5,0.000192,11
0.125000,5,0.000185,11
0.125000,5,0.000188,11
0.062500,5,0.000414,18
0.062500,5,0.000314,18
0.062500,5,0.000311,18
0.062500,5,0.000304,18
0.062500,5,0.000305,18
0.062500,5,0.000315,18
0.062500,5,0.000318,18
0.062500,5,0.000335,18
0.062500,5,0.000309,18
0.062500,5,0.000310,18
0.062500,5,0.000797,18
0.062500,5,0.000339,18
0.062500,5,0.000304,18
0.062500,5,0.000302,18
0.062500,5,0.000292,18
0.062500,5,0.000289,18
0.062500,5,0.000289,18
0.062500,5,0.000292,18
0.062500,5,0.000288,18
0.062500,5,0.000291,18
0.062500,5,0.000290,18
0.062500,5,0.000285,18
0.062500,5,0.000286,18
0.062500,5,0.000593,18
0.062500,5,0.000432,18
0.062500,5,0.000404,18
0.062500,5,0.000411,18
0.062500,5,0.000389,18
0.062500,5,0.000393,18
0.062500,5,0.000469,18
0.000000,5,0.009074,192
0.000000,5,0.009269,192
0.000000,5,0.009109,192
0.000000,5,0.009144,192
0.000000,5,0.008775,192
0.000000,5,0.009425,192
0.000000,5,0.009274,192
0.000000,5,0.008987,192
0.000000,5,0.008766,192
0.000000,5,0.009195,192
0.000000,5,0.009330,192
0.000000,5,0.009113,192
0.000000,5,0.009065,192
0.000000,5,0.008852,192
0.000000,5,0.009381,192
0.000000,5,0.009485,192
0.000000,5,0.009172,192
0.000000,5,0.008880,192
0.000000,5,0.009115,192
0.000000,5,0.009175,192
0.000000,5,0.009226,192
0.000000,5,0.008804,192
0.000000,5,0.009203,192
0.000000,5,0.009118,192
0.000000,5,0.009363,192
0.000000,5,0.008873,192
0.000000,5,0.009116,192
0.000000,5,0.009353,192
0.000000,5,0.009078,192
0.000000,5,0.009102,192
1.000000,10,0.000198,3
1.000000,10,0.000098,3
1.000000,10,0.000103,3
1.000000,10,0.000095,3
1.000000,10,0.000099,3
1.000000,10,0.000101,3
1.000000,10,0.000094,3
1.000000,10,0.000097,3
1.000000,10,0.000094,3
1.000000,10,0.000096,3
1.000000,10,0.000098,3
1.000000,10,0.000091,3
1.000000,10,0.000093,3
1.000000,10,0.000094,3
1.000000,10,0.000094,3
1.000000,10,0.000097,3
1.000000,10,0.000098,3
1.000000,10,0.000092,3
1.000000,10,0.000099,3
1.000000,10,0.000090,3
1.000000,10,0.000109,3
1.000000,10,0.000112,3
1.000000,10,0.000120,3
1.000000,10,0.000113,3
1.000000,10,0.000111,3
1.000000,10,0.000136,3
1.000000,10,0.000141,3
1.000000,10,0.000113,3
1.000000,10,0.000113,3
1.000000,10,0.000110,3
0.500000,10,0.000217,4
0.500000,10,0.000121,4
0.500000,10,0.000120,4
0.500000,10,0.000121,4
0.500000,10,0.000113,4
0.500000,10,0.000132,4
0.500000,10,0.000153,4
0.500000,10,0.000150,4
0.500000,10,0.000145,4
0.500000,10,0.000151,4
0.500000,10,0.000155,4
0.500000,10,0.000144,4
0.500000,10,0.000155,4
0.500000,10,0.000153,4
0.500000,10,0.000157,4
0.500000,10,0.000151,4
0.500000,10,0.000157,4
0.500000,10,0.000145,4
0.500000,10,0.000153,4
0.500000,10,0.000151,4
0.500000,10,0.000153,4
0.500000,10,0.000180,4
0.500000,10,0.000151,4
0.500000,10,0.000150,4
0.500000,10,0.000153,4
0.500000,10,0.000145,4
0.500000,10,0.000152,4
0.500000,10,0.000690,4
0.500000,10,0.000280,4
0.500000,10,0.000166,4
0.250000,10,0.000352,7
0.250000,10,0.000214,7
0.250000,10,0.000211,7
0.250000,10,0.000196,7
0.250000,10,0.000210,7
0.250000,10,0.000209,7
0.250000,10,0.000179,7
0.250000,10,0.000175,7
0.250000,10,0.000177,7
0.250000,10,0.000182,7
0.250000,10,0.000179,7
0.250000,10,0.000180,7
0.250000,10,0.000178,7
0.250000,10,0.000176,7
0.250000,10,0.000176,7
0.250000,10,0.000176,7
0.250000,10,0.000191,7
0.250000,10,0.000178,7
0.250000,10,0.000218,7
0.250000,10,0.000220,7
0.250000,10,0.000205,7
0.250000,10,0.000188,7
0.250000,10,0.000747,7
0.250000,10,0.000192,7
0.250000,10,0.000181,7
0.250000,10,0.000177,7
0.250000,10,0.000172,7
0.250000,10,0.000185,7
0.250000,10,0.000176,7
0.250000,10,0.000168,7
0.125000,10,0.000438,10
0.125000,10,0.000337,10
0.125000,10,0.000294,10
0.125000,10,0.000295,10
0.125000,10,0.000295,10
0.125000,10,0.000289,10
0.125000,10,0.000291,10
0.125000,10,0.000296,10
0.125000,10,0.000290,10
0.125000,10,0.000293,10
0.125000,10,0.000292,10
0.125000,10,0.000285,10
0.125000,10,0.000286,10
0.125000,10,0.000314,10
0.125000,10,0.000288,10
0.125000,10,0.000283,10
0.125000,10,0.000841,10
0.125000,10,0.000278,10
0.125000,10,0.000259,10
0.125000,10,0.000268,10
0.125000,10,0.000249,10
0.125000,10,0.000251,10
0.125000,10,0.000249,10
0.125000,10,0.000244,10
0.125000,10,0.000244,10
0.125000,10,0.000244,10
0.125000,10,0.000251,10
0.125000,10,0.000244,10
0.125000,10,0.000245,10
0.125000,10,0.000241,10
0.062500,10,0.000442,18
0.062500,10,0.000482,18
0.062500,10,0.000469,18
0.062500,10,0.000456,18
0.062500,10,0.000445,18
0.062500,10,0.000458,18
0.062500,10,0.000452,18
0.062500,10,0.000454,18
0.062500,10,0.000455,18
0.062500,10,0.000446,18
0.062500,10,0.000934,18
0.062500,10,0.000473,18
0.062500,10,0.000411,18
0.062500,10,0.000392,18
0.062500,10,0.000388,18
0.062500,10,0.000386,18
0.062500,10,0.000385,18
0.062500,10,0.000375,18
0.062500,10,0.000382,18
0.062500,10,0.000382,18
0.062500,10,0.000378,18
0.062500,10,0.000378,18
0.062500,10,0.000376,18
0.062500,10,0.000691,18
0.062500,10,0.000419,18
0.062500,10,0.000406,18
0.062500,10,0.000400,18
0.062500,10,0.000340,18
0.062500,10,0.000337,18
0.062500,10,0.000344,18
0.000000,10,0.103444,706
0.000000,10,0.099493,706
0.000000,10,0.099437,706
0.000000,10,0.099595,706
0.000000,10,0.099152,706
0.000000,10,0.099142,706
0.000000,10,0.099537,706
0.000000,10,0.099421,706
0.000000,10,0.099609,706
0.000000,10,0.099110,706
0.000000,10,0.099220,706
0.000000,10,0.099343,706
0.000000,10,0.099601,706
0.000000,10,0.099777,706
0.000000,10,0.099639,706
0.000000,10,0.099649,706
0.000000,10,0.099846,706
0.000000,10,0.099373,706
0.000000,10,0.099954,706
0.000000,10,0.099760,706
0.000000,10,0.099348,706
0.000000,10,0.099284,706
0.000000,10,0.100389,706
0.000000,10,0.100562,706
0.000000,10,0.099926,706
0.000000,10,0.099591,706
0.000000,10,0.100699,706
0.000000,10,0.100269,706
0.000000,10,0.100342,706
0.000000,10,0.100327,706
1.000000,20,0.000218,3
1.000000,20,0.000112,3
1.000000,20,0.000117,3
1.000000,20,0.000124,3
1.000000,20,0.000123,3
1.000000,20,0.000106,3
1.000000,20,0.000107,3
1.000000,20,0.000108,3
1.000000,20,0.000107,3
1.000000,20,0.000110,3
1.000000,20,0.000109,3
1.000000,20,0.000103,3
1.000000,20,0.000143,3
1.000000,20,0.000122,3
1.000000,20,0.000113,3
1.000000,20,0.000121,3
1.000000,20,0.000117,3
1.000000,20,0.000106,3
1.000000,20,0.000108,3
1.000000,20,0.000105,3
1.000000,20,0.000112,3
1.000000,20,0.000103,3
1.000000,20,0.000115,3
1.000000,20,0.000117,3
1.000000,20,0.000105,3
1.000000,20,0.000145,3
1.000000,20,0.000095,3
1.000000,20,0.000095,3
1.000000,20,0.000101,3
1.000000,20,0.000094,3
0.500000,20,0.000220,5
0.500000,20,0.000122,5
0.500000,20,0.000118,5
0.500000,20,0.000121,5
0.500000,20,0.000114,5
0.500000,20,0.000122,5
0.500000,20,0.000115,5
0.500000,20,0.000116,5
0.500000,20,0.000110,5
0.500000,20,0.000119,5
0.500000,20,0.000111,5
0.500000,20,0.000114,5
0.500000,20,0.000116,5
0.500000,20,0.000111,5
0.500000,20,0.000118,5
0.500000,20,0.000109,5
0.500000,20,0.000130,5
0.500000,20,0.000123,5
0.500000,20,0.000126,5
0.500000,20,0.000127,5
0.500000,20,0.000123,5
0.500000,20,0.000145,5
0.500000,20,0.000127,5
0.500000,20,0.000123,5
0.500000,20,0.000127,5
0.500000,20,0.000126,5
0.500000,20,0.000123,5
0.500000,20,0.000890,5
0.500000,20,0.000131,5
0.500000,20,0.000128,5
0.250000,20,0.000315,7
0.250000,20,0.000200,7
0.250000,20,0.000200,7
0.250000,20,0.000193,7
0.250000,20,0.000202,7
0.250000,20,0.000189,7
0.250000,20,0.000189,7
0.250000,20,0.000180,7
0.250000,20,0.000185,7
0.250000,20,0.000195,7
0.250000,20,0.000187,7
0.250000,20,0.000188,7
0.250000,20,0.000184,7
0.250000,20,0.000192,7
0.250000,20,0.000187,7
0.250000,20,0.000178,7
0.250000,20,0.000183,7
0.250000,20,0.000152,7
0.250000,20,0.000155,7
0.250000,20,0.000531,7
0.250000,20,0.000164,7
0.250000,20,0.000150,7
0.250000,20,0.000151,7
0.250000,20,0.000147,7
0.250000,20,0.000153,7
0.250000,20,0.000147,7
0.250000,20,0.000149,7
0.250000,20,0.000143,7
0.250000,20,0.000148,7
0.250000,20,0.000147,7
0.125000,20,0.000330,11
0.125000,20,0.000231,11
0.125000,20,0.000225,11
0.125000,20,0.000225,11
0.125000,20,0.000221,11
0.125000,20,0.000213,11
0.125000,20,0.000221,11
0.125000,20,0.000216,11
0.125000,20,0.000219,11
0.125000,20,0.000223,11
0.125000,20,0.000219,11
0.125000,20,0.000237,11
0.125000,20,0.000222,11
0.125000,20,0.000214,11
0.125000,20,0.000686,11
0.125000,20,0.000243,11
0.125000,20,0.000229,11
0.125000,20,0.000222,11
0.125000,20,0.000214,11
0.125000,20,0.000208,11
0.125000,20,0.000214,11
0.125000,20,0.000209,11
0.125000,20,0.000205,11
0.125000,20,0.000210,11
0.125000,20,0.000205,11
0.125000,20,0.000234,11
0.125000,20,0.000241,11
0.125000,20,0.000212,11
0.125000,20,0.000203,11
0.125000,20,0.000202,11
0.062500,20,0.000646,19
0.062500,20,0.000454,19
0.062500,20,0.000481,19
0.062500,20,0.000446,19
0.062500,20,0.000442,19
0.062500,20,0.000454,19
0.062500,20,0.000434,19
0.062500,20,0.000454,19
0.062500,20,0.000460,19
0.062500,20,0.000912,19
0.062500,20,0.000484,19
0.062500,20,0.000445,19
0.062500,20,0.000424,19
0.062500,20,0.000422,19
0.062500,20,0.000415,19
0.062500,20,0.000412,19
0.062500,20,0.000409,19
0.062500,20,0.000389,19
0.062500,20,0.000374,19
0.062500,20,0.000377,19
0.062500,20,0.000365,19
0.062500,20,0.000582,19
0.062500,20,0.000413,19
0.062500,20,0.000376,19
0.062500,20,0.000376,19
0.062500,20,0.000373,19
0.062500,20,0.000385,19
0.062500,20,0.000368,19
0.062500,20,0.000376,19
0.062500,20,0.000369,19
0.000000,20,1.434901,2726
0.000000,20,1.429213,2726
