f,radius,time,bitstring_count
1.000000,5,0.006675,4
1.000000,5,0.005941,4
1.000000,5,0.006060,4
1.000000,5,0.006179,4
1.000000,5,0.006369,3
1.000000,5,0.006010,4
1.000000,5,0.006021,4
1.000000,5,0.006835,4
1.000000,5,0.006137,4
1.000000,5,0.006809,4
1.000000,5,0.006581,4
1.000000,5,0.005905,4
1.000000,5,0.006007,4
1.000000,5,0.005907,4
1.000000,5,0.006037,2
1.000000,5,0.006670,4
1.000000,5,0.006026,4
1.000000,5,0.005900,4
1.000000,5,0.005983,2
1.000000,5,0.006069,4
1.000000,5,0.005905,4
1.000000,5,0.006580,5
1.000000,5,0.006425,4
1.000000,5,0.006084,4
1.000000,5,0.005988,4
1.000000,5,0.006015,4
1.000000,5,0.005953,2
1.000000,5,0.006070,4
1.000000,5,0.006432,4
1.000000,5,0.006057,4
1.000000,5,0.006025,4
1.000000,5,0.006155,4
1.000000,5,0.005969,6
1.000000,5,0.005850,3
1.000000,5,0.006008,4
1.000000,5,0.006344,4
1.000000,5,0.006028,2
1.000000,5,0.005965,4
1.000000,5,0.006019,4
1.000000,5,0.006084,2
1.000000,5,0.005857,4
1.000000,5,0.005932,2
1.000000,5,0.006043,4
1.000000,5,0.005993,2
1.000000,5,0.006032,3
1.000000,5,0.006596,4
1.000000,5,0.006138,4
1.000000,5,0.006199,4
1.000000,5,0.006041,4
1.000000,5,0.006129,2
1.000000,5,0.006064,6
1.000000,5,0.006053,2
1.000000,5,0.006080,4
1.000000,5,0.005742,4
1.000000,5,0.006062,6
1.000000,5,0.005962,4
1.000000,5,0.006093,4
1.000000,5,0.006051,4
1.000000,5,0.006113,4
1.000000,5,0.005960,4
1.000000,5,0.005866,2
1.000000,5,0.006230,4
1.000000,5,0.005943,4
1.000000,5,0.005999,4
1.000000,5,0.006273,4
1.000000,5,0.006309,4
1.000000,5,0.005918,4
1.000000,5,0.006009,2
1.000000,5,0.005959,4
1.000000,5,0.005893,4
1.000000,5,0.005870,3
1.000000,5,0.006003,4
1.000000,5,0.005938,4
1.000000,5,0.006232,4
1.000000,5,0.006085,4
1.000000,5,0.005981,4
1.000000,5,0.006597,4
1.000000,5,0.006295,5
1.000000,5,0.005952,3
1.000000,5,0.006745,4
1.000000,5,0.005833,2
1.000000,5,0.006015,4
1.000000,5,0.006413,4
1.000000,5,0.006024,4
1.000000,5,0.006048,4
1.000000,5,0.010265,6
1.000000,5,0.006799,2
1.000000,5,0.006106,4
1.000000,5,0.005894,4
1.000000,5,0.006426,4
1.000000,5,0.005961,4
1.000000,5,0.005846,4
1.000000,5,0.005862,4
1.000000,5,0.006271,5
1.000000,5,0.005942,4
1.000000,5,0.006143,4
1.000000,5,0.006098,5
1.000000,5,0.006445,4
1.000000,5,0.006202,4
1.000000,5,0.006034,4
0.500000,5,0.006095,5
0.500000,5,0.009725,4
0.500000,5,0.006242,4
0.500000,5,0.006245,7
0.500000,5,0.006884,5
0.500000,5,0.006160,6
0.500000,5,0.006277,6
0.500000,5,0.006279,6
0.500000,5,0.006132,4
0.500000,5,0.009336,6
0.500000,5,0.007316,6
0.500000,5,0.006101,4
0.500000,5,0.006142,7
0.500000,5,0.006076,4
0.500000,5,0.006035,4
0.500000,5,0.008480,6
0.500000,5,0.006056,5
0.500000,5,0.006037,4
0.500000,5,0.006503,4
0.500000,5,0.006465,6
0.500000,5,0.006086,4
0.500000,5,0.006435,6
0.500000,5,0.006424,6
0.500000,5,0.007390,6
0.500000,5,0.006389,6
0.500000,5,0.006472,6
0.500000,5,0.006041,4
0.500000,5,0.008467,7
0.500000,5,0.006033,4
0.500000,5,0.006126,6
0.500000,5,0.006437,6
0.500000,5,0.006043,6
0.500000,5,0.018971,6
0.500000,5,0.007229,4
0.500000,5,0.006103,5
0.500000,5,0.006043,4
0.500000,5,0.006516,4
0.500000,5,0.006251,6
0.500000,5,0.006204,6
0.500000,5,0.006153,4
0.500000,5,0.006032,4
0.500000,5,0.006109,4
0.500000,5,0.017065,6
0.500000,5,0.006534,4
0.500000,5,0.006037,6
0.500000,5,0.006314,6
0.500000,5,0.006540,6
0.500000,5,0.007064,5
0.500000,5,0.006204,6
0.500000,5,0.006034,4
0.500000,5,0.006671,6
0.500000,5,0.006023,4
0.500000,5,0.006886,6
0.500000,5,0.014408,4
0.500000,5,0.006259,7
0.500000,5,0.006439,4
0.500000,5,0.007662,4
0.500000,5,0.005955,4
0.500000,5,0.006159,6
0.500000,5,0.006142,4
0.500000,5,0.006068,4
0.500000,5,0.006825,6
0.500000,5,0.005949,4
0.500000,5,0.006396,7
0.500000,5,0.009492,6
0.500000,5,0.006158,6
0.500000,5,0.006077,4
0.500000,5,0.005978,4
0.500000,5,0.006781,6
0.500000,5,0.020647,6
0.500000,5,0.006093,6
0.500000,5,0.006234,6
0.500000,5,0.006254,5
0.500000,5,0.006172,7
0.500000,5,0.006344,6
0.500000,5,0.006274,4
0.500000,5,0.006238,6
0.500000,5,0.006201,8
0.500000,5,0.006168,4
0.500000,5,0.006496,6
0.500000,5,0.005994,4
0.500000,5,0.006045,6
0.500000,5,0.021382,7
0.500000,5,0.006322,6
0.500000,5,0.006196,6
0.500000,5,0.006121,6
